"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","31,700","£","60"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","30,300","£","380"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","23,800","£","90"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","30,000","£","70"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,000","£","40"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","19,600","£","30"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","!","£","!"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","N/A","£","0"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","20,000","£","140"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","21,500","£","400"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","23,000","£","270"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","22,000","£","200"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","22,200","£","310"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","25,500","£","250"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","30,300","£","1,670"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","25,000","£","380"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","29,200","£","340"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,000","£","190"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","23,300","£","170"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","25,800","£","10"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","31,700","£","10"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","20,000","£","22,350"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","23,200","£","39,120"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","24,600","£","24,550"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","23,900","£","13,880"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","24,400","£","19,160"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","25,300","£","16,870"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","35,500","£","39,390"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","26,200","£","31,450"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","29,200","£","34,150"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,800","£","24,390"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","24,100","£","33,940"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","22,400","£","3,080"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","27,300","£","440"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","21,700","£","60"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","23,100","£","130"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","24,100","£","110"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","24,100","£","70"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","23,800","£","90"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","25,300","£","100"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","31,900","£","950"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","25,000","£","160"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","29,100","£","140"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","20,900","£","90"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","24,900","£","100"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","!","£","!"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","!","£","!"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","20,000","£","6,060"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","22,000","£","10,910"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","24,100","£","6,730"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","23,000","£","4,420"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","22,900","£","7,120"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","24,100","£","5,330"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","32,800","£","20,270"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","24,600","£","9,060"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","25,000","£","8,630"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","20,700","£","5,820"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","20,000","£","9,020"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","22,700","£","560"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","30,800","£","2,020"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North East","Region","20,190","£","28,370"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North West","Region","23,200","£","51,690"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Yorkshire and The Humber","Region","24,700","£","31,360"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East Midlands","Region","24,000","£","19,420"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","West Midlands","Region","24,200","£","26,630"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East","Region","25,300","£","22,110"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","London","Region","33,000","£","78,230"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South East","Region","26,200","£","39,060"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South West","Region","28,300","£","37,110"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Wales","Region","23,600","£","31,170"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Scotland","Region","23,500","£","43,050"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Northern Ireland","Region","23,200","£","3,530"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Unknown","Region","31,650","£","2,350"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North East","Region","20,100","£","200"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North West","Region","19,800","£","1,270"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Yorkshire and The Humber","Region","20,300","£","1,360"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East Midlands","Region","19,800","£","1,230"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","West Midlands","Region","20,300","£","2,430"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East","Region","23,200","£","790"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","London","Region","27,800","£","9,500"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South East","Region","24,200","£","920"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South West","Region","28,000","£","340"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Wales","Region","22,200","£","200"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Scotland","Region","20,400","£","290"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Northern Ireland","Region","26,600","£","10"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Unknown","Region","30,730","£","10"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North East","Region","19,800","£","60"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North West","Region","20,200","£","340"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Yorkshire and The Humber","Region","23,200","£","300"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East Midlands","Region","21,100","£","290"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","West Midlands","Region","22,400","£","790"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East","Region","25,900","£","370"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","London","Region","27,300","£","6,910"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South East","Region","24,400","£","420"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South West","Region","25,100","£","220"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Wales","Region","21,700","£","90"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Scotland","Region","18,600","£","90"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Northern Ireland","Region","!","£","!"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Unknown","Region","!","£","!"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North East","Region","19,800","£","30"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North West","Region","20,200","£","100"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Yorkshire and The Humber","Region","23,200","£","50"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East Midlands","Region","22,300","£","10"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","West Midlands","Region","23,800","£","30"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East","Region","30,800","£","50"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","London","Region","31,700","£","390"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South East","Region","24,000","£","80"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South West","Region","30,400","£","60"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Wales","Region","23,400","£","40"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Scotland","Region","20,200","£","30"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Northern Ireland","Region","N/A","£","0"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Unknown","Region","N/A","£","0"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North East","Region","21,600","£","140"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North West","Region","22,400","£","430"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Yorkshire and The Humber","Region","23,400","£","270"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East Midlands","Region","22,400","£","200"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","West Midlands","Region","22,400","£","280"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East","Region","25,500","£","240"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","London","Region","31,200","£","1,780"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South East","Region","25,700","£","370"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South West","Region","29,200","£","300"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Wales","Region","23,500","£","210"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Scotland","Region","24,800","£","160"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Northern Ireland","Region","23,600","£","10"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Unknown","Region","35,280","£","10"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North East","Region","22,200","£","21,700"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North West","Region","23,500","£","38,030"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Yorkshire and The Humber","Region","25,200","£","23,330"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East Midlands","Region","24,400","£","13,270"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","West Midlands","Region","25,000","£","16,980"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East","Region","25,900","£","15,670"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","London","Region","36,700","£","39,130"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South East","Region","26,400","£","28,220"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South West","Region","29,200","£","27,680"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Wales","Region","24,300","£","24,330"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Scotland","Region","24,400","£","29,880"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Northern Ireland","Region","23,200","£","2,980"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Unknown","Region","31,710","£","270"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North East","Region","22,800","£","50"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North West","Region","23,500","£","140"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Yorkshire and The Humber","Region","28,100","£","100"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East Midlands","Region","23,900","£","50"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","West Midlands","Region","24,400","£","100"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East","Region","27,000","£","110"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","London","Region","30,400","£","730"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South East","Region","26,100","£","150"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South West","Region","30,000","£","110"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Wales","Region","22,200","£","80"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Scotland","Region","25,200","£","70"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Northern Ireland","Region","!","£","!"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Unknown","Region","!","£","!"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North East","Region","20,100","£","6,190"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","North West","Region","22,000","£","11,380"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Yorkshire and The Humber","Region","23,900","£","5,950"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East Midlands","Region","23,400","£","4,370"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","West Midlands","Region","22,700","£","6,020"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","East","Region","24,400","£","4,880"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","London","Region","33,000","£","19,780"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South East","Region","24,500","£","8,910"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","South West","Region","25,800","£","8,410"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Wales","Region","21,700","£","6,210"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Scotland","Region","22,200","£","12,530"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Northern Ireland","Region","23,500","£","530"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","All grades","Unknown","Region","31,700","£","2,060"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","North East","Region","21,400","£","28,850"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","North West","Region","23,500","£","52,100"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Yorkshire and The Humber","Region","25,100","£","31,380"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","East Midlands","Region","24,200","£","19,260"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","West Midlands","Region","24,300","£","26,590"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","East","Region","25,800","£","21,400"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","London","Region","33,400","£","78,070"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","South East","Region","26,600","£","38,200"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","South West","Region","28,200","£","36,950"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Wales","Region","23,600","£","32,440"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Scotland","Region","23,800","£","43,220"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Northern Ireland","Region","23,500","£","3,760"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Unknown","Region","30,800","£","2,900"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","North East","Region","20,400","£","240"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","North West","Region","20,300","£","1,500"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Yorkshire and The Humber","Region","23,300","£","1,450"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","East Midlands","Region","20,300","£","1,270"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","West Midlands","Region","21,600","£","2,700"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","East","Region","23,600","£","790"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","London","Region","28,200","£","9,750"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","South East","Region","24,700","£","940"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","South West","Region","27,600","£","400"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Wales","Region","22,000","£","250"
