"Time","Ethnicity","£"
"2013","All","10.54"
"2013","Asian","10.07"
"2013","Black","10.27"
"2013","Indian","11.55"
"2013","Mixed","11.00"
"2013","Other Asian","10.17"
"2013","Other","9.69"
"2013","Pakistani/ Bangladeshi","8.13"
"2013","White","10.58"
"2013","White British","10.60"
"2013","White Irish","n/a"
"2013","White Other","10.13"
"2014","All","10.69"
"2014","Asian","9.82"
"2014","Black","10.00"
"2014","Indian","12.03"
"2014","Mixed","10.41"
"2014","Other Asian","9.27"
"2014","Other","9.80"
"2014","Pakistani/ Bangladeshi","7.89"
"2014","White","10.81"
"2014","White British","10.83"
"2014","White Irish","n/a"
"2014","White Other","10.55"
"2015","All","10.82"
"2015","Asian","10.16"
"2015","Black","9.91"
"2015","Indian","11.75"
"2015","Mixed","10.71"
"2015","Other Asian","9.76"
"2015","Other","10.02"
"2015","Pakistani/ Bangladeshi","9.11"
"2015","White","10.91"
"2015","White British","10.95"
"2015","White Irish","n/a"
"2015","White Other","10.29"
"2016","All","11.02"
"2016","Asian","11.00"
"2016","Black","10.27"
"2016","Indian","12.50"
"2016","Mixed","11.26"
"2016","Other Asian","10.63"
"2016","Other","10.17"
"2016","Pakistani/ Bangladeshi","9.36"
"2016","White","11.05"
"2016","White British","11.13"
"2016","White Irish","n/a"
"2016","White Other","10.38"
"2017","All","11.41"
"2017","Asian","11.14"
"2017","Black","10.78"
"2017","Indian","12.76"
"2017","Mixed","10.71"
"2017","Other Asian","11.06"
"2017","Other","10.58"
"2017","Pakistani/ Bangladeshi","9.45"
"2017","White","11.46"
"2017","White British","11.53"
"2017","White Irish","n/a"
"2017","White Other","10.74"
"2018","All","11.82"
"2018","Asian","11.80"
"2018","Black","10.80"
"2018","Indian","13.46"
"2018","Mixed","12.16"
"2018","Other Asian","12.50"
"2018","Other","10.95"
"2018","Pakistani/ Bangladeshi","9.62"
"2018","White","11.87"
"2018","White British","11.90"
"2018","White Irish","n/a"
"2018","White Other","11.55"
"2019","All","12.17"
"2019","Asian","12.32"
"2019","Black","11.54"
"2019","Indian","14.43"
"2019","Mixed","12.30"
"2019","Other Asian","12.03"
"2019","Other","11.39"
"2019","Pakistani/ Bangladeshi","10.55"
"2019","White","12.21"
"2019","White British","12.25"
"2019","White Irish","n/a"
"2019","White Other","12.02"
"2020","All","13.00"
"2020","Asian","13.69"
"2020","Black","12.16"
"2020","Indian","15.59"
"2020","Mixed","13.28"
"2020","Other Asian","13.74"
"2020","Other","13.85"
"2020","Pakistani/ Bangladeshi","11.05"
"2020","White","13.00"
"2020","White British","12.92"
"2020","White Irish","18.69"
"2020","White Other","13.66"
"2021","All","13.57"
"2021","Asian","14.29"
"2021","Black","12.55"
"2021","Indian","16.11"
"2021","Mixed","13.57"
"2021","Other Asian","14.07"
"2021","Other","15.04"
"2021","Pakistani/ Bangladeshi","12.03"
"2021","White","13.51"
"2021","White British","13.46"
"2021","White Irish","18.14"
"2021","White Other","14.03"
