"DATE","Ethnicity","%"
"2004","White","11"
"2004","Other","24"
"2005","White","12"
"2005","Other","23"
"2006","White","13"
"2006","Other","23"
"2007","White","13"
"2007","Other","24"
"2008","White","14"
"2008","Other","26"
"2009","White","18"
"2009","Other","29"
"2010","White","18"
"2010","Other","31"
"2011","White","N/A"
"2011","Other","N/A"
"2012","White","20"
"2012","Other","33"
"2013","White","18"
"2013","Other","35"
"2014","White","16"
"2014","Other","27"
"2015","White","13"
"2015","Other","24"
"2016","White","12"
"2016","Other","23"
