"Time","Ethnicity","£"
"2013","All","10.54"
"2013","Asian","10.07"
"2013","Indian","11.55"
"2013","Pakistani, Bangladeshi","8.13"
"2013","Asian Other","10.17"
"2013","Black","10.27"
"2013","Mixed","11.00"
"2013","White","10.58"
"2013","White British","10.60"
"2013","White Other","10.13"
"2013","Other","9.69"
"2014","All","10.69"
"2014","Asian","9.82"
"2014","Indian","12.03"
"2014","Pakistani, Bangladeshi","7.89"
"2014","Asian Other","9.27"
"2014","Black","10.00"
"2014","Mixed","10.41"
"2014","White","10.81"
"2014","White British","10.83"
"2014","White Other","10.55"
"2014","Other","9.80"
"2015","All","10.82"
"2015","Asian","10.16"
"2015","Indian","11.75"
"2015","Pakistani, Bangladeshi","9.11"
"2015","Asian Other","9.76"
"2015","Black","9.91"
"2015","Mixed","10.71"
"2015","White","10.91"
"2015","White British","10.95"
"2015","White Other","10.29"
"2015","Other","10.02"
"2016","All","11.02"
"2016","Asian","11.00"
"2016","Indian","12.50"
"2016","Pakistani, Bangladeshi","9.36"
"2016","Asian Other","10.63"
"2016","Black","10.27"
"2016","Mixed","11.26"
"2016","White","11.05"
"2016","White British","11.13"
"2016","White Other","10.38"
"2016","Other","10.17"
"2017","All","11.41"
"2017","Asian","11.14"
"2017","Indian","12.76"
"2017","Pakistani, Bangladeshi","9.45"
"2017","Asian Other","11.06"
"2017","Black","10.78"
"2017","Mixed","10.71"
"2017","White","11.46"
"2017","White British","11.53"
"2017","White Other","10.74"
"2017","Other","10.58"
"2018","All","11.82"
"2018","Asian","11.80"
"2018","Indian","13.46"
"2018","Pakistani, Bangladeshi","9.62"
"2018","Asian Other","12.50"
"2018","Black","10.80"
"2018","Mixed","12.16"
"2018","White","11.87"
"2018","White British","11.90"
"2018","White Other","11.55"
"2018","Other","10.95"
