"","2013","2014","2015","2016","2017","2018"
"Ethnicity","£","£","£","£","£","£"
"All","10.54","10.69","10.82","11.02","11.41","11.82"
"Asian","10.07","9.82","10.16","11.00","11.14","11.80"
"Indian","11.55","12.03","11.75","12.50","12.76","13.46"
"Pakistani, Bangladeshi","8.13","7.89","9.11","9.36","9.45","9.62"
"Asian Other","10.17","9.27","9.76","10.63","11.06","12.50"
"Black","10.27","10.00","9.91","10.27","10.78","10.80"
"Mixed","11.00","10.41","10.71","11.26","10.71","12.16"
"White","10.58","10.81","10.91","11.05","11.46","11.87"
"White British","10.60","10.83","10.95","11.13","11.53","11.90"
"White Other","10.13","10.55","10.29","10.38","10.74","11.55"
"Other","9.69","9.80","10.02","10.17","10.58","10.95"
