"","2009/10-2011/12","2010/11-2012/13","2011/12-2013/14","2012/13-2014/15","2013/14-2015/16","2014/15-2016/17","2015/16-2017/18"
"Ethnicity","%","%","%","%","%","%","%"
"All","72","72","72","72","72","72","72"
"Asian","75","76","78","77","78","78","79"
"Bangladeshi","60","58","60","64","64","64","62"
"Chinese","68","69","79","74","75","70","75"
"Indian","83","84","84","85","85","85","86"
"Pakistani","65","67","69","70","72","72","73"
"Asian other","75","73","75","74","76","76","77"
"Black","72","71","69","70","72","72","71"
"Mixed","77","74","75","77","78","78","77"
"White","72","72","71","72","71","72","72"
"White British","71","70","70","71","70","70","70"
"White other","83","82","86","86","87","86","86"
"Other","73","74","71","69","69","73","76"
